,Family,count,normalized_cumsum
0,Ulmaceae,1008,0.3036144578313253
1,Fagaceae,669,0.5051204819277109
2,Rosaceae,296,0.5942771084337349
3,Cupressaceae,253,0.6704819277108434
4,Sapindaceae,227,0.738855421686747
5,Anacardiaceae,223,0.8060240963855422
6,Fabaceae,141,0.8484939759036144
7,Salicaceae,110,0.8816265060240964
8,Pinaceae,65,0.9012048192771084
9,Dryopteridaceae,64,0.9204819277108434
10,Betulaceae,58,0.9379518072289157
11,Juglandaceae,53,0.9539156626506025
12,Meliaceae,35,0.9644578313253012
13,Adoxaceae,33,0.9743975903614458
14,Berberidaceae,26,0.9822289156626506
15,Myrtaceae,16,0.9870481927710844
16,Rhamnaceae,11,0.9903614457831326
17,Vitaceae,11,0.9936746987951808
18,Taxaceae,9,0.9963855421686747
19,Lauraceae,6,0.9981927710843373
20,Grossulariaceae,3,0.9990963855421687
21,Araceae,2,0.9996987951807229
22,Hydrangeaceae,1,1.0
